,delta_mean
0,1.0
1,1.0
2,0.0
3,1.0
4,0.0
5,1.0
6,1.0
7,1.0
8,0.0
9,0.0
10,1.0
11,1.0
12,0.0
13,1.0
14,1.0
15,0.0
16,1.0
17,1.0
18,0.0
19,0.0
20,1.0
21,1.0
22,1.0
23,0.0
24,1.0
25,0.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.0
31,1.0
32,1.0
33,0.0
34,1.0
35,0.0
36,1.0
37,0.0
38,0.0
39,1.0
40,1.0
41,1.0
42,0.0
43,1.0
44,0.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,0.0
52,0.0
53,1.0
54,1.0
55,0.0
56,1.0
57,1.0
58,1.0
59,0.0
60,0.0
61,1.0
62,1.0
63,0.0
64,1.0
65,1.0
66,0.0
67,0.0
68,0.0
69,1.0
70,0.0
71,1.0
72,1.0
73,1.0
74,1.0
75,0.0
76,1.0
77,1.0
78,0.0
79,0.0
80,1.0
81,0.0
82,0.0
83,1.0
84,1.0
85,0.0
86,0.0
87,0.0
88,1.0
89,1.0
90,1.0
91,0.0
92,1.0
93,1.0
94,1.0
95,1.0
96,0.0
97,0.0
98,0.0
99,0.0
100,1.0
101,0.0
102,1.0
103,0.0
104,1.0
105,0.0
106,1.0
107,1.0
108,1.0
109,0.0
110,1.0
111,0.0
112,0.0
113,0.0
114,1.0
115,1.0
116,1.0
117,1.0
118,0.0
119,0.0
120,1.0
121,1.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,1.0
130,0.0
131,1.0
132,0.0
133,1.0
134,0.0
135,1.0
136,0.0
137,0.0
138,0.0
139,1.0
140,0.0
141,0.0
142,1.0
143,1.0
144,1.0
145,0.0
146,1.0
147,0.0
148,1.0
149,1.0
150,1.0
151,1.0
152,0.0
153,1.0
154,0.0
155,1.0
156,1.0
157,0.0
158,0.0
159,0.0
160,1.0
161,1.0
162,1.0
163,0.0
164,1.0
165,0.0
166,1.0
167,1.0
168,0.0
169,1.0
170,0.0
171,0.0
172,1.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,1.0
184,0.0
185,0.0
186,1.0
187,0.0
188,1.0
189,0.0
190,0.0
191,1.0
192,0.0
193,1.0
194,1.0
195,1.0
196,0.0
197,1.0
198,1.0
199,0.0
200,1.0
201,0.0
202,1.0
203,0.0
204,1.0
205,0.0
206,0.0
207,1.0
